C,gamma,CV_acc
0.03125,3.0517578125e-05,0.502
0.03125,0.0001220703125,0.502
0.03125,0.00048828125,0.502
0.03125,0.001953125,0.502
0.03125,0.0078125,0.502
0.03125,0.03125,0.502
0.03125,0.125,0.502
0.03125,0.5,0.502
0.03125,2.0,0.502
0.03125,8.0,0.502
0.125,3.0517578125e-05,0.502
0.125,0.0001220703125,0.502
0.125,0.00048828125,0.502
0.125,0.001953125,0.502
0.125,0.0078125,0.502
0.125,0.03125,0.502
0.125,0.125,0.502
0.125,0.5,0.502
0.125,2.0,0.5
0.125,8.0,0.486
0.5,3.0517578125e-05,0.502
0.5,0.0001220703125,0.502
0.5,0.00048828125,0.502
0.5,0.001953125,0.502
0.5,0.0078125,0.502
0.5,0.03125,0.502
0.5,0.125,0.498
0.5,0.5,0.494
0.5,2.0,0.496
0.5,8.0,0.4640000000000001
2.0,3.0517578125e-05,0.502
2.0,0.0001220703125,0.502
2.0,0.00048828125,0.502
2.0,0.001953125,0.502
2.0,0.0078125,0.502
2.0,0.03125,0.484
2.0,0.125,0.51
2.0,0.5,0.458
2.0,2.0,0.518
2.0,8.0,0.468
8.0,3.0517578125e-05,0.502
8.0,0.0001220703125,0.502
8.0,0.00048828125,0.502
8.0,0.001953125,0.502
8.0,0.0078125,0.49
8.0,0.03125,0.502
8.0,0.125,0.482
8.0,0.5,0.51
8.0,2.0,0.474
8.0,8.0,0.4759999999999999
32.0,3.0517578125e-05,0.502
32.0,0.0001220703125,0.502
32.0,0.00048828125,0.502
32.0,0.001953125,0.502
32.0,0.0078125,0.514
32.0,0.03125,0.484
32.0,0.125,0.446
32.0,0.5,0.49
32.0,2.0,0.48
32.0,8.0,0.562
128.0,3.0517578125e-05,0.502
128.0,0.0001220703125,0.502
128.0,0.00048828125,0.484
128.0,0.001953125,0.5
128.0,0.0078125,0.484
128.0,0.03125,0.472
128.0,0.125,0.482
128.0,0.5,0.508
128.0,2.0,0.588
128.0,8.0,0.778
512.0,3.0517578125e-05,0.502
512.0,0.0001220703125,0.49200000000000005
512.0,0.00048828125,0.472
512.0,0.001953125,0.51
512.0,0.0078125,0.506
512.0,0.03125,0.4759999999999999
512.0,0.125,0.51
512.0,0.5,0.7340000000000001
512.0,2.0,0.902
512.0,8.0,0.932
2048.0,3.0517578125e-05,0.49200000000000005
2048.0,0.0001220703125,0.526
2048.0,0.00048828125,0.5
2048.0,0.001953125,0.512
2048.0,0.0078125,0.508
2048.0,0.03125,0.4759999999999999
2048.0,0.125,0.764
2048.0,0.5,0.956
2048.0,2.0,0.958
2048.0,8.0,0.956
8192.0,3.0517578125e-05,0.5
8192.0,0.0001220703125,0.47
8192.0,0.00048828125,0.526
8192.0,0.001953125,0.534
8192.0,0.0078125,0.496
8192.0,0.03125,0.856
8192.0,0.125,0.946
8192.0,0.5,0.966
8192.0,2.0,0.9620000000000001
8192.0,8.0,0.972
32768.0,3.0517578125e-05,0.4640000000000001
32768.0,0.0001220703125,0.526
32768.0,0.00048828125,0.516
32768.0,0.001953125,0.576
32768.0,0.0078125,0.868
32768.0,0.03125,0.9620000000000001
32768.0,0.125,0.97
32768.0,0.5,0.966
32768.0,2.0,0.982
32768.0,8.0,0.978
