C,gamma,CV_acc
0.03125,3.0517578125e-05,0.502
0.03125,0.0001220703125,0.502
0.03125,0.00048828125,0.502
0.03125,0.001953125,0.502
0.03125,0.0078125,0.502
0.03125,0.03125,0.502
0.03125,0.125,0.502
0.03125,0.5,0.502
0.03125,2.0,0.502
0.03125,8.0,0.502
0.125,3.0517578125e-05,0.502
0.125,0.0001220703125,0.502
0.125,0.00048828125,0.502
0.125,0.001953125,0.502
0.125,0.0078125,0.502
0.125,0.03125,0.502
0.125,0.125,0.49200000000000005
0.125,0.5,0.498
0.125,2.0,0.4759999999999999
0.125,8.0,0.478
0.5,3.0517578125e-05,0.502
0.5,0.0001220703125,0.502
0.5,0.00048828125,0.502
0.5,0.001953125,0.502
0.5,0.0078125,0.498
0.5,0.03125,0.504
0.5,0.125,0.504
0.5,0.5,0.482
0.5,2.0,0.43200000000000005
0.5,8.0,0.474
2.0,3.0517578125e-05,0.502
2.0,0.0001220703125,0.502
2.0,0.00048828125,0.502
2.0,0.001953125,0.49
2.0,0.0078125,0.512
2.0,0.03125,0.5
2.0,0.125,0.482
2.0,0.5,0.474
2.0,2.0,0.486
2.0,8.0,0.456
8.0,3.0517578125e-05,0.502
8.0,0.0001220703125,0.502
8.0,0.00048828125,0.502
8.0,0.001953125,0.494
8.0,0.0078125,0.494
8.0,0.03125,0.458
8.0,0.125,0.48
8.0,0.5,0.49200000000000005
8.0,2.0,0.4640000000000001
8.0,8.0,0.508
32.0,3.0517578125e-05,0.502
32.0,0.0001220703125,0.502
32.0,0.00048828125,0.502
32.0,0.001953125,0.508
32.0,0.0078125,0.49200000000000005
32.0,0.03125,0.484
32.0,0.125,0.484
32.0,0.5,0.484
32.0,2.0,0.594
32.0,8.0,0.736
128.0,3.0517578125e-05,0.502
128.0,0.0001220703125,0.498
128.0,0.00048828125,0.526
128.0,0.001953125,0.48
128.0,0.0078125,0.49200000000000005
128.0,0.03125,0.528
128.0,0.125,0.548
128.0,0.5,0.81
128.0,2.0,0.8759999999999999
128.0,8.0,0.892
512.0,3.0517578125e-05,0.5
512.0,0.0001220703125,0.524
512.0,0.00048828125,0.502
512.0,0.001953125,0.514
512.0,0.0078125,0.506
512.0,0.03125,0.638
512.0,0.125,0.904
512.0,0.5,0.936
512.0,2.0,0.932
512.0,8.0,0.944
2048.0,3.0517578125e-05,0.524
2048.0,0.0001220703125,0.494
2048.0,0.00048828125,0.512
2048.0,0.001953125,0.506
2048.0,0.0078125,0.738
2048.0,0.03125,0.93
2048.0,0.125,0.946
2048.0,0.5,0.972
2048.0,2.0,0.958
2048.0,8.0,0.932
8192.0,3.0517578125e-05,0.494
8192.0,0.0001220703125,0.52
8192.0,0.00048828125,0.512
8192.0,0.001953125,0.762
8192.0,0.0078125,0.964
8192.0,0.03125,0.972
8192.0,0.125,0.9620000000000001
8192.0,0.5,0.972
8192.0,2.0,0.958
8192.0,8.0,0.946
32768.0,3.0517578125e-05,0.502
32768.0,0.0001220703125,0.556
32768.0,0.00048828125,0.774
32768.0,0.001953125,0.9620000000000001
32768.0,0.0078125,0.964
32768.0,0.03125,0.972
32768.0,0.125,0.97
32768.0,0.5,0.968
32768.0,2.0,0.97
32768.0,8.0,0.94
